Preview,Type,PriceLastSent,ID,WordCount,LengthCat,BestTime,Theme | Tags,LastUsedDate,LastUsedBy,TimesUsed,LastUsedPage,Explicitness
New content alert! Unlock my last message to see what I’ve been working on ;),BUMP,$0,C08359,15,Short,Morning,,,,,,OTHER
Need help with something?🤭,BUMP,$0,C08360,4,Short,Late Night,,2025-07-27 09:54,George,1,Kay,OTHER
Thinking about you rn babe🤭,BUMP,$0,C08361,5,Short,Evening,,,,,,OTHER
hope you had a nice relaxing night daddy!🥰,BUMP,$0,C08362,8,Short,Morning,,,,,,OTHER
I was going to behave... but where’s the fun in that?🤭😈,BUMP,$0,C08363,11,Short,Afternoon,,,,,,OTHER
hope you have a great day baby! 🍆😋,BUMP,$0,C08364,8,Short,Afternoon,,,,,,OTHER
"Missed my last message? 😘 Don’t worry, it’s still hot and ready for you! 🔥 Click now before it’s gone! 💋",BUMP,$0,C08365,21,Medium,Afternoon,,,,,,OTHER
Can't get enough? 😘 Check out my latest post for something extra spicy! 🔥,BUMP,$0,C08366,14,Short,Morning,,,,,,OTHER
Got a little surprise for you! 🎁 Click now to see what I've been up to. You won’t regret it! 😈,BUMP,$0,C08367,21,Medium,Overnight,,,,,,OTHER
"If I gave you one minute, what would you do with me? 😏",BUMP,$0,C08368,13,Short,Morning,,,,,,OTHER
Hey there! Need a little break from your day? 😏 I have just the thing to spice it up! You won't want to miss this one 🔥,BUMP,$0,C08369,27,Medium,Late Night,,,,,,OTHER
What if I said I’m not wearing anything else?🤭😈,BUMP,$0,C08370,9,Short,Morning,,2025-08-05 07:05,George,1,Dianna Grace,OTHER
Wish you were here right now so I could sit on your face 🍑😋,BUMP,$0,C08371,14,Short,Late Night,,,,,,OTHER
What do you crave most at 8am?🫣🍒,BUMP,$0,C08372,7,Short,Afternoon,,,,,,OTHER
"If I told you to stroke that hard cock for me, would you?🤭😈",BUMP,$0,C08373,13,Short,Afternoon,,,,,,OTHER
How hard do you get thinking of me?🙈🍆,BUMP,$0,C08374,8,Short,Morning,,,,,,OTHER
Wanna help me make a mess?🤭😈,BUMP,$0,C08375,6,Short,Afternoon,,2025-07-27 09:56,George,1,Kay,OTHER
I’ve got something special just for you... Unlock and indulge ✨,BUMP,$0,C08376,11,Short,Afternoon,,,,,,OTHER
Heyyy! Got a little secret I want to share with you... Wanna see? 😋,BUMP,$0,C08377,14,Short,Evening,,,,,,OTHER
Are you imagining me on top... or underneath?🥵🙈,BUMP,$0,C08378,8,Short,Evening,,,,,,OTHER
Should I bite my lip... or yours?💋😈,BUMP,$0,C08379,7,Short,Afternoon,,,,,,OTHER
Can you guess where my hands are?🙈😈,BUMP,$0,C08380,7,Short,Late Night,,2025-07-31 15:28,George,1,Dianna Grace,OTHER
Heyyy you! I just wanted to be the first to wish you a great day😘,BUMP,$0,C08381,15,Short,Afternoon,,,,,,OTHER
do you not want to see how ***wet*** **my pussy** can get daddy 😈💦,BUMP,$0,C08382,14,Short,Late Night,,,,,,OTHER
### thx for having renew on daddy 💖,BUMP,$0,C08383,8,Short,Late Night,,,,,,OTHER
i wanna make you cum daddyyy! come play with me...😈,BUMP,$0,C08384,10,Short,Morning,,,,,,OTHER
Want me to blow your mind... or something else? You pick 💨,BUMP,$0,C08385,12,Short,Afternoon,,,,,,OTHER
I promise I won’t bite... unless you beg me to 🫦,BUMP,$0,C08386,11,Short,Late Night,,,,,,OTHER
why do i have a feeling that ur thinking abt me rn 😋,BUMP,$0,C08387,13,Short,Late Night,,,,,,OTHER
What’s that one spot on your body that drives you wild when touched?💋,BUMP,$0,C08388,13,Short,Morning,,,,,,OTHER
You better be touching your dick for me right now! 😈,BUMP,$0,C08389,11,Short,Afternoon,,,,,,OTHER
Hi babyy🙃What are you doing today?,BUMP,$0,C08390,6,Short,Late Night,,,,,,OTHER
"If you could taste me anywhere, where would you begin baby? 👅",BUMP,$0,C08391,12,Short,Evening,,,,,,OTHER
Close your eyes—guess where I’d lick you first? 😜,BUMP,$0,C08392,9,Short,Morning,,,,,,OTHER
Always so horny for you babe😩,BUMP,$0,C08393,6,Short,Late Night,,,,,,OTHER
I'm going to give you a discount right now. What do you want to see? 😉,BUMP,$0,C08394,16,Short,Late Night,,,,,,OTHER
What do you find most attractive about me? 😉,BUMP,$0,C08395,9,Short,Afternoon,,2025-08-05 07:03,George,1,Dianna Grace,OTHER
Should I sit on your face or dick?🤭,BUMP,$0,C08396,8,Short,Morning,,,,,,OTHER
Would you rather kiss me slow... or pin me down?🥵,BUMP,$0,C08397,10,Short,Evening,,2025-08-05 05:29,George,1,Kay Claire,OTHER
"If I crawled into your lap in nothing but a smirk, would you still call me cute?🤭",BUMP,$0,C08398,17,Short,Afternoon,,,,,,OTHER
"If I pressed my body against yours right now, what would you do first?🤭",BUMP,$0,C08399,14,Short,Afternoon,,,,,,OTHER
How would you make me beg with my legs over your shoulders?😉,BUMP,$0,C08400,12,Short,Morning,,,,,,OTHER
"Do you want me to take care of morning wood right now, daddy?🥵",BUMP,$0,C08401,13,Short,Afternoon,,2025-07-28 04:28,George,1,Kay Claire,OTHER
Want to play a little game with no rules?🤭😈,BUMP,$0,C08402,9,Short,Late Night,,2025-07-28 04:31,George,1,Kay Claire,OTHER
Care to unwrap a surprise?🙈,BUMP,$0,C08403,5,Short,Afternoon,,,,,,OTHER
wanna see how naughty i can get when im feeling horny? 😈,BUMP,$0,C08404,12,Short,Afternoon,,,,,,OTHER
Wanna help me misbehave?👅,BUMP,$0,C08405,4,Short,Afternoon,,2025-07-28 04:32,George,1,Kay Claire,OTHER
Can you guess what I’m thinking?🤭😈,BUMP,$0,C08406,6,Short,Morning,,2025-07-31 15:29,George,1,Dianna Grace,OTHER
Should I be a good girl... or your favorite bad one?🤭😈,BUMP,$0,C08407,11,Short,Late Night,,2025-07-28 04:34,George,1,Kay Claire,OTHER
"If I spread my legs right now, would you know what to do? 🍑",BUMP,$0,C08408,14,Short,Late Night,,,,,,OTHER
"I love making ur cock haard, Daddy!🍆💦",BUMP,$0,C08409,7,Short,Evening,,,,,,OTHER
Do you wanna play with me😈💦,BUMP,$0,C08410,6,Short,Afternoon,,,,,,OTHER
I hope you have some time for me rn babe😉,BUMP,$0,C08411,10,Short,Late Night,,,,,,OTHER
"i've been missing you lately babe, idk what happened but i hope you can spare me some of your time 🥺",BUMP,$0,C08412,21,Medium,Late Night,,,,,,OTHER
Have you watched my hottest video yet?🔥😉,BUMP,$0,C08413,7,Short,Late Night,,,,,,OTHER
🍋‍🟩are you onlime🍋‍🟩,BUMP,$0,C08414,3,Short,Late Night,,,,,,OTHER
Mind if I spoil you today baby,BUMP,$0,C08415,7,Short,Late Night,,,,,,OTHER
hehe thx baby,BUMP,$0,C08416,3,Short,Afternoon,,,,,,OTHER
im gonna make you cum today😘,BUMP,$0,C08417,6,Short,Afternoon,,,,,,OTHER
Just wait till i get these lips on you😈,BUMP,$0,C08418,9,Short,Evening,,,,,,OTHER
heyy,BUMP,$0,C08419,1,Short,Evening,,,,,,OTHER
Goodmorninggg daddy😘 so happy u found my page and stream,BUMP,$0,C08420,10,Short,Afternoon,,,,,,OTHER
"So be honest... how would you rate my tits, 1 to 10? 😉💕",BUMP,$0,C08421,13,Short,Evening,,,,,,OTHER
im unsending that after my live baby 3 ive been on for 16hrs so who knows when ill end ;),BUMP,$0,C08422,20,Short,Late Night,,,,,,OTHER
Are you still interested in me? 🥺,BUMP,$0,C08423,7,Short,Afternoon,,,,,,OTHER
FREE SURPRISE 🎉 I made my page **75% OFF FOR 24 HOURS** 😱 so that you can come back and see my ***EXCLUSIVE G/G BUNDLE FOR FREE FOR FREE*** 💦 DM me a 🐱 when you subscribe and I will spoil you with it for free 😈,BUMP,$0,C08424,47,Medium,Morning,,,,,,BUNDLE
I choose YOU 🫵 hey daddy... I reallyyyy want to talk to you again and show you all of my ***EXCLUSIVE G/G BUNDLE FOR FREE*** 😈 I was randomly scrolling and saw your name so I made my page **75% OFF FOR 24 HOURS** 👅 Dm me a 🐱 when you subscribe and I will send you it 🥵,BUMP,$0,C08425,59,Long,Afternoon,,,,,,BUNDLE
### LAST CHANCE ⏰ This is your ***LAST CHANCE*** to subscribe to my page **FOR 75% OFF** 👀... I literally made it **75% OFF** just for YOU 😖 so that you could come see my new video for FREE 💦 if you don't want it let me know and **I will send it to someone else** 💔,BUMP,$0,C08426,57,Long,Overnight,,,,,,G/G
its really urgent so hopefully youre online today... I want to tell you what ive been up to💋,BUMP,$0,C08427,18,Short,Afternoon,,,,,,OTHER
Want me to treat you something naughty?🤭,BUMP,$0,C08428,7,Short,Late Night,,,,,,OTHER
Wanna show me how hard is your cock rn?👀😈,BUMP,$0,C08429,9,Short,Evening,,,,,,OTHER
theres something really important I need to tell you 🥺 so let me know when youre online,BUMP,$0,C08430,17,Short,Afternoon,,,,,,OTHER
Can you tell me your name 🥰,BUMP,$0,C08431,7,Short,Morning,,,,,,OTHER
^^^This is what she looks like!😍^^^ buy the video above for $9.99 of our Snapchat sex tape we made last night and I’ll send you a free link to her only fans😳😉,BUMP,$0,C08432,32,Medium,Overnight,,,,,,OTHER
Thanks for following me💋,BUMP,$0,C08433,4,Short,Morning,,,,,,OTHER
Do you have any plans for today baby?😊,BUMP,$0,C08434,8,Short,Afternoon,,,,,,OTHER
I will be sending out a free video on the 12th! Thank you so much for joining my free account!,BUMP,$0,C08435,20,Short,Afternoon,,,,,,OTHER
Here is a FREE anal and squirting video to celebrate hitting 400 followers in 2 days!! Thank you for being here and I can't wait to share more hot content!!,BUMP,$0,C08436,30,Medium,Late Night,,,,,,ANAL
Heyy I’m streaming tonight with a hot new girl! Should be around 5-6pm pst! Will I see you there??,BUMP,$0,C08437,19,Short,Evening,,,,,,OTHER
Me or coffee?🤭😈,BUMP,$0,C08438,3,Short,Afternoon,,,,,,G/G
I'll make your cock cum a lot for me rn👅💦,BUMP,$0,C08439,10,Short,Morning,,,,,,OTHER
Wanna see how wet my pussy is?😈💦,BUMP,$0,C08440,7,Short,Late Night,,,,,,OTHER
Wanna see something naughty?🤭,BUMP,$0,C08441,4,Short,Late Night,,,,,,OTHER
You won't believe what I tried... 😲📹,BUMP,$0,C08442,7,Short,Evening,,,,,,OTHER
If your hands were on my hips rn. What happens next? 😘,BUMP,$0,C08443,12,Short,Afternoon,,,,,,OTHER
I could use a hand... or two... preferably on my thighs 🫣😍,BUMP,$0,C08444,12,Short,Afternoon,,,,,,OTHER
"Quick question: if you caught me wearing nothing, would you behave or misbehave? 😈",BUMP,$0,C08445,14,Short,Late Night,,,,,,OTHER
So... how do you feel about bad decisions and even worse intentions tonight? 🤫,BUMP,$0,C08446,14,Short,Evening,,,,,,OTHER
"Would you rather tie me up and tease me, or let me loose and get wild? 😍",BUMP,$0,C08447,17,Short,Afternoon,,,,,,OTHER
"My bed’s too big for just me rn, wyd if you were here? 🫣",BUMP,$0,C08448,14,Short,Morning,,,,,,OTHER
What's a naughty thought you always think about? 😉,BUMP,$0,C08449,9,Short,Overnight,,,,,,OTHER
Would you rather hear me moan or scream? 🙊,BUMP,$0,C08450,9,Short,Afternoon,,2025-07-28 06:37,George,1,Tori Rae,OTHER
What if I told you I was already wet just from picturing your hands on me? 🫣,BUMP,$0,C08451,17,Short,Evening,,,,,,OTHER
if you dont want it can i give it someone else 🥺,BUMP,$0,C08452,12,Short,Morning,,,,,,OTHER
What would you do if I knelt for you in lace lingerie? 🤤,BUMP,$0,C08453,13,Short,Evening,,,,,,OTHER
i know you want to see how i am rnn 🙈,BUMP,$0,C08454,11,Short,Late Night,,,,,,OTHER
i need cuddles bae 🥰,BUMP,$0,C08455,5,Short,Afternoon,,,,,,OTHER
If I whisper what I’m not wearing... will you whisper back what you’d do about it? 🫣,BUMP,$0,C08456,17,Short,Morning,,,,,,OTHER
My account got suspendedddd omg,BUMP,$0,C08457,5,Short,Evening,,,,,,OTHER
since im still locked down on CB we should do something fun hereee,BUMP,$0,C08458,13,Short,Evening,,,,,,OTHER
"superrr sleepy from that stream but i had so much fun getting to know everyone, lets keep getting close hehe",BUMP,$0,C08459,20,Short,Afternoon,,,,,,OTHER
whats the first position we would do daddy 😩,BUMP,$0,C08460,9,Short,Evening,,,,,,OTHER
are you gonna come fuck me?,BUMP,$0,C08461,6,Short,Afternoon,,,,,,OTHER
goodmorninggg what we doing today baby 😋,BUMP,$0,C08462,7,Short,Evening,,,,,,OTHER
"I had an innocent thought earlier 😇 don’t worry, I ruined it by thinking of you 😈",BUMP,$0,C08463,17,Short,Afternoon,,,,,,OTHER
Let’s make tonight the kind of memory we can never tell anyone else about 😘,BUMP,$0,C08464,15,Short,Evening,,,,,,OTHER
"#### 🌟 World RECORD Bundle is LIVE! 🌟 My ***66*** **HOUR STREAM** celebration package is now available! This extra exclusive bundle includes everything you’ve been craving, plus a secret surprise! **Only 66** spots and 66 hours to get it!",BUMP,$0,C08465,39,Medium,Evening,,,,,,BUNDLE
im really horny rn can u help me 🙈,BUMP,$0,C08466,9,Short,Morning,,,,,,OTHER
Let’s pretend I’m seated on your lap... 😘 what’s the first thing you’d do to me?,BUMP,$0,C08467,16,Short,Afternoon,,,,,,OTHER
I want to be taken care of tonight 😍 and by that I mean held down and ruined slowly...,BUMP,$0,C08468,19,Short,Evening,,,,,,OTHER
Ngl sometimes you make me feel like moaning your name and beg with my eyes 🥺,BUMP,$0,C08469,16,Short,Late Night,,,,,,OTHER
I’m not wearing anything under the sheets 🫣 so how fast would you get in bed w me?,BUMP,$0,C08470,18,Short,Morning,,,,,,OTHER
"So needy, I can’t take it anymore 🥵😈",BUMP,$0,C08471,8,Short,Morning,,,,,,OTHER
i wanna get you harddd,BUMP,$0,C08472,5,Short,Afternoon,,,,,,OTHER
Small talks? Or do you wanna skip to the part where you make me moan all night? 😉,BUMP,$0,C08473,18,Short,Evening,,,,,,OTHER
"I’m in bed, half naked, and dangerously wild... can you handle it? 😘",BUMP,$0,C08474,13,Short,Evening,,,,,,OTHER
"If you told me to touch myself right now, I wouldn’t even hesitate 😈",BUMP,$0,C08475,14,Short,Afternoon,,,,,,OTHER
Would you let me ride slow or fast? 😋,BUMP,$0,C08476,9,Short,Evening,,,,,,OTHER
How fast could you have me breathless and moaning if you were here? 🫣,BUMP,$0,C08477,14,Short,Overnight,,,,,,OTHER
"If I crawl into your lap, are you gonna play nice or play rough? 🥺",BUMP,$0,C08478,15,Short,Afternoon,,,,,,OTHER
I keep thinking about how you'd react if I started stripping down in front of you 😈,BUMP,$0,C08479,17,Short,Evening,,,,,,OTHER
Would it be okay if I moaned softly in your ear and do nothing with your body? 🤭,BUMP,$0,C08480,18,Short,Evening,,,,,,OTHER
wanna see how good my new outfits look??,BUMP,$0,C08481,8,Short,Evening,,,,,,OTHER
btwww would you let me sit on your face,BUMP,$0,C08482,9,Short,Evening,,,,,,OTHER
Tell me something nasty and I promise I’ll make this worth your while 😈,BUMP,$0,C08483,14,Short,Late Night,,,,,,OTHER
whats the freakiest thing youve thought abt doing to me 🤭 i wanna hear something nastyyy,BUMP,$0,C08484,16,Short,Overnight,,,,,,OTHER
#### lets do something we shouldnt 😈 im abt to send you something ***x-rated***,BUMP,$0,C08485,14,Short,Late Night,,,,,,OTHER
"If I sent a naughty pic rn, would you tell me what to do next? 😉",BUMP,$0,C08486,16,Short,Evening,,,,,,OTHER
lets just start the fun now 😋 im gonna stream tmrw instead of tn,BUMP,$0,C08487,14,Short,Morning,,,,,,OTHER
#### would you let me sit on it??,BUMP,$0,C08488,8,Short,Late Night,,,,,,OTHER
im starting to love cumming on cam 🤭,BUMP,$0,C08489,8,Short,Late Night,,,,,,OTHER
"Guess what I’m doing with my fingers right now 😉 if you're right, I'll keep going",BUMP,$0,C08490,16,Short,Afternoon,,,,,,OTHER
What type of content are you in the mood for rn baby😈 I'm such in the mood to give a precious bundle for your cock 😋,BUMP,$0,C08491,26,Medium,Overnight,,,,,,BUNDLE
daddyyy show me what I can ride 🤤,BUMP,$0,C08492,8,Short,Late Night,,,,,,OTHER
Are ur balls full for me? 😏,BUMP,$0,C08493,7,Short,Morning,,,,,,OTHER
I really want you in my mouth 😋,BUMP,$0,C08494,8,Short,Afternoon,,,,,,OTHER
"If you love me, you'll open that 👀😘",BUMP,$0,C08495,8,Short,Evening,,,,,,OTHER
wyd??? its time to get freakyyy,BUMP,$0,C08496,6,Short,Evening,,,,,,OTHER
nothing turns me on more than your attention 😘,BUMP,$0,C08497,9,Short,Evening,,,,,,OTHER
i want your heart and your hands on me,BUMP,$0,C08498,9,Short,Afternoon,,,,,,OTHER
Tell me something filthy enough to make me bite my lip rn 🫦,BUMP,$0,C08499,13,Short,Morning,,,,,,OTHER
how wet do you think I am right now? 😏💦,BUMP,$0,C08500,10,Short,Morning,,,,,,OTHER
"***SEXY STRIP GAME*** It’s getting late, I have no plans wanna play a game w you babe are you up for it??🫣 here’s how we’ll play: Tip me an amount $ between $5 and $10. If you tip the number I’m guessing you get a super wet💦 shower vid for suuuuper cheap🤑 If you don’t, you still get the vid but for normal price😽 Now to spice it up;) if you like the video I’ll keep sending more for cheap that get a little more explicit each time until there’s nothing left to the imagination 😳😍 what do you say bby can we play? Pretty pleeeeeeeease 🥹 Send me a tip $ to press play ❤️‍🔥",BUMP,$0,C08501,116,XL,Late Night,,,,,,OTHER
Hey babe I have a hot deal just for you ? lets sext for 1hour with no unlocks babe😈 just me flooding your DM with my hot and naughty pics videos 🥵you only have to tip $100 once and then you don't have to tip again for the whole session until you cum🥵❤️,BUMP,$0,C08502,53,Long,Late Night,,,,,,OTHER
You up? Or do I need to send something that'll make you rise? 👅,BUMP,$0,C08503,14,Short,Afternoon,,,,,,OTHER
Just say the word and I’ll ruin my sheets thinking about you 😈,BUMP,$0,C08504,13,Short,Evening,,,,,,OTHER
"If I sent you one of my naughtiest videos, would you last 30 seconds? 😉",BUMP,$0,C08505,15,Short,Evening,,,,,,OTHER
I want to be spread out and stretched out while I'm under you 🥵,BUMP,$0,C08506,14,Short,Morning,,,,,,OTHER
Let’s skip the talking and get straight to me making a mess on my bed for you 😍,BUMP,$0,C08507,18,Short,Evening,,,,,,OTHER
I want you to be sweet. But I also want your fingers deep in me while dirty talking 🙈,BUMP,$0,C08508,19,Short,Morning,,,,,,OTHER
I’m not wearing anything under my booty shorts rn and I’m imagining you finding it out with your tongue 😋,BUMP,$0,C08509,20,Short,Evening,,,,,,OTHER
I just feel like getting some dick 🤭,BUMP,$0,C08510,8,Short,Late Night,,,,,,OTHER
"I'm desperate for you, come make me feel amazing 💦",BUMP,$0,C08511,10,Short,Late Night,,,,,,OTHER
"Hey babe, missed my latest content? 😘 It’s waiting for you UNLOCK now to see it all! 🔥",BUMP,$0,C08512,18,Short,Afternoon,,,,,,OTHER
What would I do to turn you on? 😉,BUMP,$0,C08513,9,Short,Afternoon,,,,,,OTHER
come shove your face in-between my cheeks ;) 🍑,BUMP,$0,C08514,9,Short,Evening,,,,,,OTHER
I woke up wet and ready for u bby 😉😘,BUMP,$0,C08515,10,Short,Evening,,,,,,OTHER
i’m in a mood and need u now let’s get nasty🥵👅,BUMP,$0,C08516,11,Short,Late Night,,,,,,OTHER
Let me sit in your face 😘,BUMP,$0,C08517,7,Short,Morning,,,,,,OTHER
I love jiggling my lil butt 😏,BUMP,$0,C08518,7,Short,Late Night,,,,,,OTHER
"You deserve a treat after a long week, so have my tits 😉",BUMP,$0,C08519,13,Short,Afternoon,,,,,,OTHER
Just the perfect size to fill your mouth :) 😋,BUMP,$0,C08520,10,Short,Morning,,,,,,OTHER
"Talk to me like you own me, and I’ll make sure you do 😘",BUMP,$0,C08521,14,Short,Evening,,,,,,OTHER
I’m craving the kind of mood that ends with me naked and out of breath rn 😍 can you give that?,BUMP,$0,C08522,21,Medium,Evening,,,,,,OTHER
"If I told you where I want your mouth right now, would you even hesitate? 😈",BUMP,$0,C08523,16,Short,Morning,,,,,,OTHER
i want to feel you throbbing against my tongue 👅,BUMP,$0,C08524,10,Short,Morning,,,,,,OTHER
wanna feel my thighs tremble around your head? 🥵,BUMP,$0,C08525,9,Short,Afternoon,,,,,,OTHER
Just took something off 🤭 wanna guess what it is?,BUMP,$0,C08526,10,Short,Afternoon,,2025-08-07 12:39,George,1,Kay Claire,G/G
Play nice or play nasty? you get to choose tonight 😉,BUMP,$0,C08527,11,Short,Evening,,2025-07-31 15:30,George,1,Dianna Grace,OTHER
you want me? then beg for it 😈,BUMP,$0,C08528,8,Short,Afternoon,,,,,,OTHER
mark me. claim me. ruin me. 🥵,BUMP,$0,C08529,7,Short,Evening,,,,,,OTHER
"you like when i tease you like this, huh?",BUMP,$0,C08530,9,Short,Late Night,,,,,,OTHER
i want you deep inside me just thinking about this 🥵,BUMP,$0,C08531,11,Short,Morning,,,,,,OTHER
i’m sweet... but make me scream 😈,BUMP,$0,C08532,7,Short,Afternoon,,,,,,OTHER
these lips? made for sin💋😈,BUMP,$0,C08533,5,Short,Evening,,,,,,OTHER
made myself cum thinking of you... wanna see it? 😏,BUMP,$0,C08534,10,Short,Late Night,,,,,,OTHER
wanna know what i’m not wearing rn? 😏,BUMP,$0,C08535,8,Short,Morning,,,,,,OTHER
think you could handle me if i started slow? 😏,BUMP,$0,C08536,10,Short,Afternoon,,,,,,OTHER
wanna hear the sound of my moans?🥵,BUMP,$0,C08537,7,Short,Evening,,,,,,OTHER
i wanna know how hard you'll fuck me 🥵,BUMP,$0,C08538,9,Short,Late Night,,,,,,OTHER
"let’s have sum fun baby, wanna see what’s under this dress?🥰",BUMP,$0,C08539,11,Short,Afternoon,,,,,,OTHER
"I want to be face down, ass up, and hearing you say how good I take it 😍 do you want that too?",BUMP,$0,C08540,23,Medium,Evening,,,,,,OTHER
Can you imagine the way I’m craving your touch right now.. 🥵 it's criminal,BUMP,$0,C08541,14,Short,Afternoon,,,,,,OTHER
Want to guess what toy I'm using rn? 😉,BUMP,$0,C08542,9,Short,Morning,,,,,,OTHER
unlock my message baby im horny wanna talk dirty with you 🩷,BUMP,$0,C08543,12,Short,Late Night,,,,,,OTHER
will a free nude get your attention??,BUMP,$0,C08544,7,Short,Afternoon,,,,,,OTHER
I’ve been good all day... don’t you think I deserve a punishment tonight? 🫣,BUMP,$0,C08545,14,Short,Evening,,,,,,OTHER
"I’m not sure if I wanna chill and rest, or to be bent over something sturdy 🫣 what do you think?",BUMP,$0,C08546,21,Medium,Evening,,,,,,OTHER
Go check out my adorable friend she is brand new so go show her some love!! 💕,BUMP,$0,C08547,17,Short,Morning,,,,,,OTHER
I’ve been thinking about your hands all day🥵,BUMP,$0,C08548,8,Short,Evening,,,,,,OTHER
Would you be gentle at first?😈,BUMP,$0,C08549,6,Short,Late Night,,,,,,OTHER
"If I told you to sit back, watch, and not touch yourself... could you actually obey? Or would you fail for me?",BUMP,$0,C08550,22,Medium,Evening,,,,,,OTHER
"I’m really curious do you like hearing dirty talk, or do you prefer me just showing you?",BUMP,$0,C08551,17,Short,Evening,,,,,,OTHER
What's the naughtiest thought you've had about me today?🤭🙈,BUMP,$0,C08552,9,Short,Evening,,,,,,OTHER
I’m ready to slip it off... just need you to tap first 😘,BUMP,$0,C08553,13,Short,Late Night,,,,,,G/G
"One word babe... Unreleased. One tap, and it’s all yours 😘🫣",BUMP,$0,C08554,11,Short,Morning,,,,,,OTHER
It’s cheaper than your coffee order WAY more satisfying ☕💦,BUMP,$0,C08555,10,Short,Morning,,,,,,G/G
"If you miss this, your pillow’s the only thing getting wet tonight 💦",BUMP,$0,C08556,13,Short,Late Night,,,,,,OTHER
My tits called... they’re tired of waiting 😏🍒,BUMP,$0,C08557,8,Short,Morning,,,,,,OTHER
"If I whispered in your ear right now, what would you want me to say?😈",BUMP,$0,C08558,15,Short,Late Night,,,,,,OTHER
"Babe, tell me are you the type to whisper filthy things in my ear... or make me say them?",BUMP,$0,C08559,19,Short,Late Night,,,,,,OTHER
Curious... how would you make me cum if I told you I wasn’t allowed to touch myself?,BUMP,$0,C08560,17,Short,Overnight,,,,,,OTHER
"Okay babe, would you rather have a slow, intimate night or something filthy and rough with no talking?",BUMP,$0,C08561,18,Short,Evening,,,,,,OTHER
If I said I needed to cum desperately would you be gentle or ruin me on purpose?,BUMP,$0,C08562,17,Short,Evening,,,,,,OTHER
How fast would you make me cum if your hands and mouth were all over me right now?,BUMP,$0,C08563,18,Short,Afternoon,,,,,,OTHER
"If I rode you slowly, babe... how long before you had to flip me over and take control?",BUMP,$0,C08564,18,Short,Evening,,,,,,OTHER
The second you unlock... you’ll wish you were the one in front of me. 😈👅,BUMP,$0,C08565,15,Short,Morning,,,,,,OTHER
Would you rather I tease you with my words or my hands?🙈😈,BUMP,$0,C08566,12,Short,Afternoon,,2025-07-28 06:43,George,1,Tori Rae,OTHER
How long could you keep eye contact with me before giving in to temptation?🫦,BUMP,$0,C08567,14,Short,Afternoon,,,,,,OTHER
What’s your biggest turn-on that most people wouldn’t expect?😋,BUMP,$0,C08568,9,Short,Morning,,,,,,OTHER
I’m aching for you can’t take this teasing a second longer 😩🔥,BUMP,$0,C08569,12,Short,Late Night,,,,,,OTHER
I can just imagine how badly you want to stretch me out until I’m dripping for more 😩🔥,BUMP,$0,C08570,18,Short,Evening,,,,,,OTHER
Kiss me everywhere... daddy 🥵,BUMP,$0,C08571,5,Short,Morning,,,,,,OTHER
Don’t wait... or you’ll regret it later 😛🔥,BUMP,$0,C08572,8,Short,Morning,,,,,,OTHER
You’ve seen the tease... now unlock and see what I’m really showing off 😈💋,BUMP,$0,C08573,14,Short,Morning,,,,,,G/G
I lowered the price so you’d have no excuse 😏💋,BUMP,$0,C08574,10,Short,Morning,,,,,,OTHER
You know you’re curious... just unlock it! 🔥💦,BUMP,$0,C08575,8,Short,Late Night,,,,,,OTHER
Leaving me unopened? That’s just cold 😩💔,BUMP,$0,C08576,7,Short,Morning,,,,,,OTHER
"If we were alone right now, what would you want to do first?👅😈",BUMP,$0,C08577,13,Short,Evening,,,,,,OTHER
What part of your body do you love being kissed the most?🫦,BUMP,$0,C08578,12,Short,Late Night,,,,,,OTHER
"If I blindfolded you, what would you want me to do next?🤭",BUMP,$0,C08579,12,Short,Late Night,,,,,,OTHER
Do you prefer teasing or being teased?🫦,BUMP,$0,C08580,7,Short,Morning,,2025-07-28 06:45,George,1,Tori Rae,OTHER
Your hands are already halfway there... just saying 😏👅,BUMP,$0,C08581,9,Short,Late Night,,,,,,OTHER
Handle me now... or dream about it all night 😇🔒,BUMP,$0,C08582,10,Short,Morning,,,,,,OTHER
"Wouldn’t want you to miss the grand reveal, would we? 👅",BUMP,$0,C08583,11,Short,Late Night,,,,,,OTHER
You’re gonna wish you had this view when I’m done teasing 😈,BUMP,$0,C08584,12,Short,Morning,,,,,,OTHER
What’s your biggest bedroom fantasy?🙈,BUMP,$0,C08585,5,Short,Afternoon,,2025-07-28 06:54,George,1,Tori Rae,OTHER
What turns you on instantly?😋,BUMP,$0,C08586,5,Short,Afternoon,,2025-07-31 15:32,George,2,Dianna Grace,OTHER
"If I were in your bed right now, what would you do first?🤭",BUMP,$0,C08587,13,Short,Late Night,,,,,,OTHER
What do you imagine me wearing when you think about me late at night?🙈😋,BUMP,$0,C08588,14,Short,Morning,,,,,,OTHER
How’s work treating you these days?😊,BUMP,$0,C08589,6,Short,Late Night,,,,,,OTHER
What do you enjoy doing in your free time?😉,BUMP,$0,C08590,9,Short,Afternoon,,,,,,OTHER
"Missing this would be a crime... but hey, I like bad boys 😈",BUMP,$0,C08591,13,Short,Late Night,,,,,,OTHER
What have you been up to lately?😊,BUMP,$0,C08592,7,Short,Afternoon,,,,,,OTHER
I bet your balls are big and full🤤 do you want to empty them with my tits🥵,BUMP,$0,C08593,17,Short,Evening,,,,,,OTHER
